,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
4515,D.A.U.,Jay Tee,7ksdfcn3k4UPLPeuez8kay,0.689,0.417,0.0,-15.427,1.0,0.288,0.599,0.0,0.622,0.705,91.95,audio_features,7ksdfcn3k4UPLPeuez8kay,spotify:track:7ksdfcn3k4UPLPeuez8kay,https://api.spotify.com/v1/tracks/7ksdfcn3k4UPLPeuez8kay,https://api.spotify.com/v1/audio-analysis/7ksdfcn3k4UPLPeuez8kay,31765.0,1.0,not_hot,11,0
4516,The Winner Takes It All (From 'Mamma Mia'),Martine McCutcheon,3whVHE3bD2Iv3feA1xfuqB,0.41,0.317,6.0,-7.552,1.0,0.0304,0.694,5.4e-06,0.136,0.131,124.969,audio_features,3whVHE3bD2Iv3feA1xfuqB,spotify:track:3whVHE3bD2Iv3feA1xfuqB,https://api.spotify.com/v1/tracks/3whVHE3bD2Iv3feA1xfuqB,https://api.spotify.com/v1/audio-analysis/3whVHE3bD2Iv3feA1xfuqB,289067.0,4.0,not_hot,0,0
4517,Look Up,Chris Bell,02EZluiJkREOG4viw4kGia,0.39,0.576,2.0,-5.613,1.0,0.0258,0.134,0.0,0.527,0.339,98.116,audio_features,02EZluiJkREOG4viw4kGia,spotify:track:02EZluiJkREOG4viw4kGia,https://api.spotify.com/v1/tracks/02EZluiJkREOG4viw4kGia,https://api.spotify.com/v1/audio-analysis/02EZluiJkREOG4viw4kGia,194105.0,4.0,not_hot,1,0
4518,Feeling the Death,Lapsus Dei,5KZO5oKXeNNBJ01JUNl4Qz,0.34,0.647,2.0,-6.683,1.0,0.0387,0.000469,0.584,0.0697,0.247,119.421,audio_features,5KZO5oKXeNNBJ01JUNl4Qz,spotify:track:5KZO5oKXeNNBJ01JUNl4Qz,https://api.spotify.com/v1/tracks/5KZO5oKXeNNBJ01JUNl4Qz,https://api.spotify.com/v1/audio-analysis/5KZO5oKXeNNBJ01JUNl4Qz,411978.0,4.0,not_hot,12,0
4519,Knock U Down,112,5j5JDTt9ObaaZIE2QA16hM,0.612,0.494,5.0,-7.256,0.0,0.0465,0.599,0.0,0.273,0.395,87.064,audio_features,5j5JDTt9ObaaZIE2QA16hM,spotify:track:5j5JDTt9ObaaZIE2QA16hM,https://api.spotify.com/v1/tracks/5j5JDTt9ObaaZIE2QA16hM,https://api.spotify.com/v1/audio-analysis/5j5JDTt9ObaaZIE2QA16hM,264947.0,4.0,not_hot,7,0
4523,Untitled Track,The Fully Down,6x13guTZ9M4OYUwhKcizm8,0.453,0.754,7.0,-7.793,1.0,0.207,0.0202,0.56,0.333,0.335,80.969,audio_features,6x13guTZ9M4OYUwhKcizm8,spotify:track:6x13guTZ9M4OYUwhKcizm8,https://api.spotify.com/v1/tracks/6x13guTZ9M4OYUwhKcizm8,https://api.spotify.com/v1/audio-analysis/6x13guTZ9M4OYUwhKcizm8,428307.0,4.0,not_hot,12,0
4524,Crazy Train,Ozzy Osbourne,7ACxUo21jtTHzy7ZEV56vU,0.454,0.913,9.0,-4.008,1.0,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,7ACxUo21jtTHzy7ZEV56vU,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/tracks/7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183.0,4.0,not_hot,13,0
4526,Runaway,Yeah Yeah Yeahs,5HoP4xJdaImnZjP1w3JLs1,0.425,0.629,10.0,-5.092,1.0,0.0283,0.0344,0.00931,0.251,0.339,82.025,audio_features,5HoP4xJdaImnZjP1w3JLs1,spotify:track:5HoP4xJdaImnZjP1w3JLs1,https://api.spotify.com/v1/tracks/5HoP4xJdaImnZjP1w3JLs1,https://api.spotify.com/v1/audio-analysis/5HoP4xJdaImnZjP1w3JLs1,313387.0,4.0,not_hot,1,0
4529,Envidia,El Meswy,5Teyao3vjONuyQojrNCrL7,0.845,0.663,4.0,-9.333,0.0,0.14,0.021,0.000675,0.0902,0.938,87.406,audio_features,5Teyao3vjONuyQojrNCrL7,spotify:track:5Teyao3vjONuyQojrNCrL7,https://api.spotify.com/v1/tracks/5Teyao3vjONuyQojrNCrL7,https://api.spotify.com/v1/audio-analysis/5Teyao3vjONuyQojrNCrL7,237400.0,4.0,not_hot,3,0
4533,Electrosuite (Long & Dirty Mix),Vector Lovers,10ZOikxuZ6Kdy7Xzec7TWq,0.769,0.365,1.0,-13.67,1.0,0.0705,5.95e-05,0.886,0.376,0.715,121.986,audio_features,10ZOikxuZ6Kdy7Xzec7TWq,spotify:track:10ZOikxuZ6Kdy7Xzec7TWq,https://api.spotify.com/v1/tracks/10ZOikxuZ6Kdy7Xzec7TWq,https://api.spotify.com/v1/audio-analysis/10ZOikxuZ6Kdy7Xzec7TWq,308160.0,4.0,not_hot,6,0
